member,event_id,scenario,time,lat,lon,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_adjusted_thermo_DL_gaussian,pn_analogue_sparse_gaussian
r8i1p1f1,53,factual,2014-04-16 00:00:00,46.204227,281.25,0.9695560405765519,0.0,0.9999866699771571,0.9999999993847296,0.9988943446690312,0.9985409473748821
r8i1p1f1,54,factual,2014-04-16 00:00:00,48.053776,262.27274,0.6262939052917348,0.0,0.9936182373766015,0.9983116909225005,0.9906969013591568,0.9644002328142174
r8i1p1f1,55,factual,2014-11-16 00:00:00,-15.9624405,28.148148,0.9961987489819585,0.0,0.9965583998233729,0.9999955829609406,0.999952448626672,0.9999999955371388
r8i1p1f1,0,counterfactual,2004-07-16 12:00:00,-22.240717,124.545456,0.0,0.7785364542868806,1.0,1.0,0.0,0.9999997982519151
r8i1p1f1,1,counterfactual,2005-12-16 12:00:00,1.2676055,295.75,0.0,0.0,0.9999999998057973,0.9999999999999999,0.0,0.9999999958689526
r8i1p1f1,2,counterfactual,2007-01-16 12:00:00,-68.83098,59.25,0.0,0.0,1.0,1.0,0.0,-3.105759590108235
r8i1p1f1,3,counterfactual,2007-12-16 12:00:00,-23.96927,117.72727,0.0,0.0,1.0,0.9999999999999999,0.0,0.9998803547271293
r8i1p1f1,4,counterfactual,2008-01-16 12:00:00,17.112675,27.916666,0.0,0.3530344708533881,1.0,1.0,0.0,0.8963037635420691
r8i1p1f1,5,counterfactual,2008-11-16 00:00:00,24.718311,46.875,0.0,0.0,1.0,1.0,,0.9999999123946676
r8i1p1f1,6,counterfactual,2009-03-16 12:00:00,77.19718,335.5,0.0,0.9959779366135624,0.999999999999991,0.9999999999635932,0.0,-0.5700961783245895
r8i1p1f1,7,counterfactual,2010-02-15 00:00:00,81.38027,290.75,0.0,0.9999834989930455,0.9943800460220823,0.9999890823538751,0.0,-0.29176761332266477
r8i1p1f1,8,counterfactual,2010-04-16 00:00:00,-3.169014,300.0,0.0,0.4041741640569083,1.0,0.9999999999999987,0.0,0.9242531821984971
r8i1p1f1,9,counterfactual,2011-01-16 12:00:00,66.72215,311.5909,0.0,0.8784175808325737,0.9999998945436972,0.9999999999721978,0.0,-1.9885221088582727
r8i1p1f1,10,counterfactual,2011-02-15 00:00:00,66.855965,210.64516,0.0,0.9997568270179606,0.9999999453982313,0.9999999910582695,0.0,0.9571187365358069
