member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian
r9i1p1f1,22,counterfactual,2005-07-16 12:00:00,-78.47272,351.32812,0.23764177512824236,0.021754357389423218,0.03405403290440412,0.036150804069046694
r9i1p1f1,23,counterfactual,2005-07-16 12:00:00,-9.302276,31.153847,0.6846074596991794,0.22500632310546054,0.38548464078008104,0.690291406702486
r9i1p1f1,24,counterfactual,2005-09-16 00:00:00,-1.4677538,290.7237,0.14065069247908613,0.005375679831778557,0.0015101425986181471,0.0024973226918006963
r9i1p1f1,25,counterfactual,2005-11-16 00:00:00,-17.377722,309.31818,0.05045032122062554,0.0026936841203430983,0.0,0.0
r9i1p1f1,26,counterfactual,2005-12-16 12:00:00,53.008568,267.1134,0.25711330684784717,0.15802117521451786,0.0,0.01723448114602888
r9i1p1f1,27,counterfactual,2005-12-16 12:00:00,70.431335,113.046875,0.0144033762857122,0.07540270090407508,0.0,0.0
r9i1p1f1,28,counterfactual,2006-01-16 12:00:00,19.08865,48.455883,0.562409023225238,0.4622198368585352,0.4550361364195359,0.845850526121892
r9i1p1f1,29,counterfactual,2006-01-16 12:00:00,40.611217,274.82706,0.12343207922567923,0.06450489459959263,0.0,0.0
r9i1p1f1,30,counterfactual,2006-01-16 12:00:00,79.85915,332.5,0.010323190714817132,0.05490335170453964,0.0,0.0
r9i1p1f1,31,counterfactual,2006-02-15 00:00:00,15.274648,351.8125,0.08743746334983082,0.01885804906273636,0.0,0.0
r9i1p1f1,32,counterfactual,2006-02-15 00:00:00,39.350292,107.150536,0.05996833746597663,0.011681308657856437,0.0,0.0
r9i1p1f1,33,counterfactual,2006-02-15 00:00:00,48.570942,133.90244,0.007482007656000045,0.011020120240189946,0.0,0.0
r9i1p1f1,34,counterfactual,2006-03-16 12:00:00,13.593977,19.597702,0.19646895316823587,0.03863577347174807,0.0,0.0
r9i1p1f1,35,counterfactual,2006-03-16 12:00:00,21.711115,48.776596,0.16750693509877213,0.08323254676284475,0.0,0.0
r9i1p1f1,36,counterfactual,2006-03-16 12:00:00,71.02553,315.65103,0.21436557093672004,0.165089486023553,0.0,0.1231901623565691
r9i1p1f1,37,counterfactual,2006-04-16 00:00:00,-83.746475,37.51282,0.09894456240873428,0.03738698220757586,0.022594018630220924,0.046779120776003436
r9i1p1f1,38,counterfactual,2006-04-16 00:00:00,-80.44873,347.7035,0.042754077966128845,0.01004519600988596,0.0,0.0
r9i1p1f1,39,counterfactual,2006-04-16 00:00:00,4.2450056,18.72093,0.18418812845652144,0.035005205036486076,0.0,0.0
r9i1p1f1,40,counterfactual,2006-04-16 00:00:00,15.805457,353.35938,0.2578056741934952,0.15953708573854997,0.0,0.0
r9i1p1f1,41,counterfactual,2006-04-16 00:00:00,22.553816,15.864779,0.1169344518518819,0.05369006959160605,0.0,0.0
r9i1p1f1,42,counterfactual,2006-06-16 00:00:00,-25.171028,293.0,0.26261237408390914,0.1204577447238967,0.0,0.07028749864717987
r9i1p1f1,43,counterfactual,2006-07-16 12:00:00,-73.12966,40.294117,0.0018083193045054236,0.0017090190824758933,0.0,0.0
r9i1p1f1,44,counterfactual,2006-07-16 12:00:00,-4.955186,290.22726,0.26289000928106576,0.12110779917732539,0.0,0.0
r9i1p1f1,45,counterfactual,2006-08-16 12:00:00,-5.424173,290.1744,0.24509375718496373,0.11509852125985309,0.0,0.0034405165925232017
r9i1p1f1,46,counterfactual,2006-09-16 00:00:00,51.488934,90.47619,0.23497085688031927,0.05284452369889747,0.0,0.0
r9i1p1f1,47,counterfactual,2006-10-16 12:00:00,46.512943,20.040323,0.36796646170930525,0.13368665174326322,0.0,0.11036382613967777
r9i1p1f1,48,counterfactual,2006-11-16 00:00:00,48.77641,119.114586,0.6952752268448019,0.365576519345716,0.48582874022718503,0.4950099438573329
r9i1p1f1,49,counterfactual,2006-12-16 12:00:00,57.238956,261.42242,0.4021997881523486,0.1454692398902896,0.040719588332089995,0.2736738482387854
