member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_50_gaussian,pn_analogues_local_gaussian,pn_analogues_lasso_gaussian
r4i1p1f1,3,counterfactual,2005-07-16 12:00:00,-81.12674,138.81818,0.5692090528768059,0.0,0.1871657349406577,0.3328764358256081,0.19356210373173877
r4i1p1f1,4,counterfactual,2006-02-15 00:00:00,18.814886,7.428571,0.27809388101111676,0.06591459946777412,0.0,0.0,0.0
r4i1p1f1,5,counterfactual,2006-02-15 00:00:00,16.812454,353.75,0.2926102157538659,0.17465533220999452,0.0,0.0,0.0
r4i1p1f1,6,counterfactual,2006-04-16 00:00:00,52.028175,258.94446,0.03606748618537903,0.007916747834218807,0.0,0.0,0.017448078215909546
r4i1p1f1,7,counterfactual,2006-11-16 00:00:00,71.94003,316.9086,0.6460698200851551,0.42725076780806615,0.0,0.0,0.0
r4i1p1f1,8,counterfactual,2007-02-15 00:00:00,20.242077,22.03125,0.38861135175427497,0.09208351768668699,0.0,0.7891348943233176,0.7767087310188718
r4i1p1f1,9,counterfactual,2007-06-16 00:00:00,-86.32922,140.1302,0.33194173828567797,0.08391320204115393,0.012562074683268754,0.34762670928452755,0.3566113864778958
r4i1p1f1,10,counterfactual,2007-12-16 12:00:00,63.653904,89.52643,0.13163506041081452,0.0,0.0,0.26318065253849066,0.21666950551578434
r4i1p1f1,11,counterfactual,2009-01-16 12:00:00,44.584507,102.763885,0.10623717013179246,0.0697213428044342,0.0,0.0,0.0
r4i1p1f1,12,counterfactual,2009-03-16 12:00:00,46.824585,57.878788,0.13210885863125577,0.06613146773462486,0.009430709835625106,0.0,0.0
r4i1p1f1,13,counterfactual,2009-05-16 12:00:00,-82.788734,7.9444447,0.209456905286191,0.05638298321237423,0.0,0.0,0.0
r4i1p1f1,14,counterfactual,2009-05-16 12:00:00,-82.448875,339.8925,0.32015007545712526,0.10369769202918622,0.0,0.0,0.0
r4i1p1f1,15,counterfactual,2009-05-16 12:00:00,19.90141,98.5,0.4942553490107532,0.0,0.0,0.9898136304876958,0.9833379388110636
r4i1p1f1,16,counterfactual,2009-06-16 00:00:00,-30.115238,297.42426,0.19983069846855728,0.0,0.0,0.0,0.0
r4i1p1f1,17,counterfactual,2010-12-16 12:00:00,36.81952,275.75583,0.08903557747598934,0.016306965435073373,0.0,0.06046220130396218,0.0
r4i1p1f1,18,counterfactual,2011-07-16 12:00:00,-86.71369,163.69403,0.08641251018123675,0.03348511249936914,0.0,0.0,0.0
r4i1p1f1,19,counterfactual,2012-10-16 12:00:00,-10.386188,307.74194,0.6191249883166122,0.36235971025854286,0.4060411708136963,0.0,0.7768302680339548
r4i1p1f1,20,counterfactual,2012-12-16 12:00:00,57.959248,93.69681,0.934366014258775,0.17611087247284296,0.1442318134737529,0.0,0.0
r4i1p1f1,21,counterfactual,2012-12-16 12:00:00,66.971825,174.08333,0.041120786916111096,0.023908713974078344,0.0,0.0,0.0
r4i1p1f1,22,counterfactual,2013-09-16 00:00:00,-18.211267,302.91666,0.026358745999056077,0.0,0.0,0.01683195940546367,0.007343808688614284
r4i1p1f1,23,counterfactual,2013-12-16 12:00:00,52.71748,114.06863,0.7762176426541617,0.3103673173282572,0.1508638618119108,0.0,0.015856097261163993
r5i1p1f1,0,factual,2005-02-15 00:00:00,63.043976,259.1837,0.9389149966376575,0.9562384755904543,0.8866096401246313,0.0,0.25815820008917245
r5i1p1f1,1,factual,2007-02-15 00:00:00,14.171182,14.230769,0.7388620158747892,0.997598642602467,0.126991469425918,0.9999549694690565,0.9999999999998173
r5i1p1f1,2,factual,2007-12-16 12:00:00,64.33098,78.229164,0.8785191960995875,0.9923687998238842,0.9608470262764472,0.0,0.0
r5i1p1f1,3,factual,2008-01-16 12:00:00,65.563385,29.027779,0.937402945268989,0.9988356317664073,0.718278664696592,0.0,0.9919015579945791
r5i1p1f1,4,factual,2009-01-16 12:00:00,57.733673,43.636364,0.9329754702469903,0.9829098980633909,0.7148033141321519,0.0,0.8384323496733559
r5i1p1f1,5,factual,2009-02-15 00:00:00,47.320763,246.12782,0.9916951192175049,0.9835177882920447,0.9312561107836256,0.992789387288395,0.9995501232219123
r5i1p1f1,6,factual,2009-02-15 00:00:00,79.64788,335.33334,0.9999355274917163,0.9998819633055593,0.835577342609717,0.8692163760879236,0.9999999999739954
r5i1p1f1,7,factual,2012-01-16 12:00:00,49.162537,284.7973,0.9717606160522894,0.9648449162273771,0.9574598742111462,0.0,0.39169682649604975
r5i1p1f1,8,factual,2012-11-16 00:00:00,-12.676055,33.910255,0.8208900263087137,0.9998927869351271,0.8416400984851233,0.9999997771416768,0.9999999997932054
r5i1p1f1,9,factual,2013-04-16 00:00:00,51.97183,70.85107,0.9948703563842053,0.8812532611602638,0.5414423102927046,0.9999997155975386,0.9999352390835893
r5i1p1f1,10,factual,2013-08-16 12:00:00,-79.60979,223.27869,0.9997880756135546,0.4544892757151928,0.4475472221684277,0.0,0.2300091826510673
r5i1p1f1,11,factual,2014-08-16 12:00:00,-77.35646,269.80768,0.9994256728859701,0.8543504174042842,0.5872159503710785,0.0,0.9132067477196294
r5i1p1f1,12,factual,2014-09-16 00:00:00,-10.835982,295.08066,0.7333063057976206,0.9999999997583128,0.9488463597293714,0.9995376207757076,0.9999999423563307
r5i1p1f1,0,counterfactual,2005-02-15 00:00:00,63.043976,259.1837,0.3847480764459382,0.25474738526942453,0.020531171859777375,0.0936015154305051,0.41058112118014156
r5i1p1f1,1,counterfactual,2007-02-15 00:00:00,14.171182,14.230769,0.1843747851349854,0.1685982620740647,0.0,0.023531595048507215,0.1945759506935435
r5i1p1f1,2,counterfactual,2007-12-16 12:00:00,64.33098,78.229164,2.6752722813716545e-06,0.0001332697117449877,0.0,0.0006491244019519726,0.0008529792799125691
r5i1p1f1,3,counterfactual,2008-01-16 12:00:00,65.563385,29.027779,0.8834321286556033,0.9299972178153778,0.8073551716122561,0.0,0.9377894856165236
r5i1p1f1,4,counterfactual,2009-01-16 12:00:00,57.733673,43.636364,0.14510728332277045,0.15723223305704803,0.0,0.0,0.0
r5i1p1f1,5,counterfactual,2009-02-15 00:00:00,47.320763,246.12782,0.5518089475553145,0.3237206357058646,0.21266368269240288,0.6668856857237258,0.6929964422513115
r5i1p1f1,6,counterfactual,2009-02-15 00:00:00,79.64788,335.33334,0.1038092535819366,0.19696673262854902,0.0,0.0,0.010586582454710447
r5i1p1f1,7,counterfactual,2012-01-16 12:00:00,49.162537,284.7973,0.7259809516739761,0.7469676377816996,0.6695327008152183,0.0,0.2749389781452122
r5i1p1f1,8,counterfactual,2012-11-16 00:00:00,-12.676055,33.910255,0.22683987560857233,0.08272950662874767,0.0007250679768467938,0.05017062643333381,0.11466407285376767
r5i1p1f1,9,counterfactual,2013-04-16 00:00:00,51.97183,70.85107,0.571352645837638,0.7164179846662498,0.08745282071283234,0.28751980280722056,0.29228494551612194
r5i1p1f1,10,counterfactual,2013-08-16 12:00:00,-79.60979,223.27869,0.8598003957681613,0.0,0.0013729795035886116,0.12460722147056025,0.2525938775207285
r5i1p1f1,11,counterfactual,2014-08-16 12:00:00,-77.35646,269.80768,0.7040566483528954,0.016627890543296164,0.11175084883913244,0.0,0.2448168382508341
r5i1p1f1,12,counterfactual,2014-09-16 00:00:00,-10.835982,295.08066,0.5783849913482864,0.9399108154804101,0.2647796260376377,0.7455334333689208,0.9959646007995758
r6i1p1f1,0,factual,2004-10-16 12:00:00,42.46479,243.67188,0.832557555544137,0.9391099767351657,0.8770287704200395,0.9586272435972482,0.9722272272231723
r6i1p1f1,1,factual,2005-01-16 12:00:00,64.95025,50.114677,0.8944080818303439,0.9840626281300937,0.8538514544271172,0.0,0.0
r6i1p1f1,2,factual,2005-02-15 00:00:00,50.95775,95.625,0.7680746767873738,0.8195474213541316,0.5782270209978684,0.0,0.03642148202523332
r6i1p1f1,3,factual,2005-02-15 00:00:00,62.215675,110.3125,0.5093558547264732,0.9775600061863958,0.9868106163370738,0.0,0.0
r6i1p1f1,4,factual,2005-03-16 12:00:00,47.7281,61.467392,0.9088886632252557,0.7374457570178033,0.4278439964337091,0.9996450818214784,0.9999907005086746
r6i1p1f1,5,factual,2005-07-16 12:00:00,-7.278509,291.6129,0.460657466729258,0.9999526819337551,0.7245584440736501,0.9999998455166289,0.9999963359372896
r6i1p1f1,6,factual,2005-10-16 12:00:00,-5.691291,306.12244,0.670020241152393,0.9994279824214211,0.17350595058088092,0.9999974764934485,0.9999999999999919
r6i1p1f1,7,factual,2005-11-16 00:00:00,-5.312759,308.75,0.5318496271526321,0.9994249072089906,0.2019876359624999,0.9995973557799838,0.9999999999755922
r6i1p1f1,8,factual,2006-12-16 12:00:00,61.989006,227.31708,0.7036902361453542,0.9084058559716288,0.30746703549845933,0.0,0.0
r6i1p1f1,9,factual,2007-10-16 12:00:00,-15.422535,303.33334,0.7082448006202584,0.9813069532469523,0.3515334414185173,0.9995668863367093,0.999997442038341
r6i1p1f1,10,factual,2008-01-16 12:00:00,32.10025,91.47059,0.9799133402975556,0.9277659815693408,0.8575909864082772,0.0,0.0
r6i1p1f1,11,factual,2008-01-16 12:00:00,55.80413,293.31396,0.6949699668809663,0.9743125381457972,0.9946871764641257,0.9963517100945893,0.9998646462832568
r6i1p1f1,12,factual,2008-02-15 12:00:00,67.81691,66.5,0.90992844115457,0.9649619937679479,0.8756820887926717,0.0,0.0
r6i1p1f1,13,factual,2008-06-16 00:00:00,-73.989334,52.184685,0.4530690935915588,0.8738287415859373,0.8996869216563395,0.0,0.8703683445917543
r6i1p1f1,14,factual,2008-11-16 00:00:00,77.93794,313.3203,0.9901027714369983,0.9733437825787703,0.8218947767135044,0.0,0.0
r6i1p1f1,15,factual,2009-03-16 12:00:00,18.760563,353.0,0.9076437504599599,0.9987239183951924,0.917985799322625,0.0,0.9538292872326855
r6i1p1f1,16,factual,2010-01-16 12:00:00,16.300617,12.34375,0.7537551529574346,0.989965193003034,0.31218789508576394,0.7017344961226635,0.9996196786498288
r6i1p1f1,17,factual,2010-09-16 00:00:00,-24.480635,304.53125,0.8965580731950771,0.9666712425617066,0.7087100745693219,0.0,0.9975833204539375
r6i1p1f1,18,factual,2010-12-16 12:00:00,59.85677,90.4661,0.9627624415454634,0.8866940014667181,0.8103891605135877,0.0,0.1431071615426408
r6i1p1f1,19,factual,2011-02-15 00:00:00,32.82605,270.487,0.9927935033696205,0.9606447564465315,0.8146413792419998,0.33545977642692937,0.49346843973553933
r6i1p1f1,20,factual,2011-10-16 12:00:00,-29.05742,135.52884,0.8827563099731788,0.9830829279742351,0.9483075667979116,0.9384489659103938,0.9951235197304469
r6i1p1f1,21,factual,2011-12-16 12:00:00,59.681854,99.64706,0.9889945974897166,0.9288153018130809,0.8999232414298308,0.0,0.3245639013614491
r6i1p1f1,22,factual,2012-01-16 12:00:00,56.13218,243.5577,0.998105631032921,0.8888985989791748,0.858267816489536,0.0,0.0
r6i1p1f1,23,factual,2012-01-16 12:00:00,61.205185,46.079544,0.9607664371566753,0.9472981150556118,0.9113645397683788,0.0,0.2672160223933281
r6i1p1f1,24,factual,2012-07-16 12:00:00,-87.076065,69.03333,0.8302278496885853,0.8548404652159043,0.7794603955383859,0.0,0.6728198575123645
r6i1p1f1,25,factual,2013-02-15 00:00:00,20.71453,48.048782,0.9927703543590874,0.985381555019963,0.5925103722925906,0.798488716584784,0.9496208759916476
r6i1p1f1,26,factual,2013-12-16 12:00:00,56.19718,262.66666,0.9702366842932708,0.8673623257107278,0.9243065234740232,0.5810491074742172,0.9422834844228293
r6i1p1f1,27,factual,2014-02-15 00:00:00,18.549294,5.25,0.8908462190056152,0.997620234319782,0.2972848292450987,0.9982077253961259,0.9961496611671086
r6i1p1f1,28,factual,2014-02-15 00:00:00,16.151749,351.7742,0.9985030682949361,0.9982449629170704,0.7809576143549413,0.9385167192161453,0.9630314871959946
r6i1p1f1,29,factual,2014-03-16 12:00:00,27.344067,9.892858,0.9946011951144379,0.9965615407024976,0.2860066881124169,0.9869074644688153,0.9984771270750917
r6i1p1f1,0,counterfactual,2004-10-16 12:00:00,42.46479,243.67188,0.4316715529050299,0.05609439307034014,0.23401229200717621,0.0,0.0
r6i1p1f1,1,counterfactual,2005-01-16 12:00:00,64.95025,50.114677,0.11816308660616626,0.05983228290501241,0.0014163899129558954,0.48561786406272234,0.27114646665027053
r6i1p1f1,2,counterfactual,2005-02-15 00:00:00,50.95775,95.625,0.17610753917931854,0.08227879708778241,0.02656865873228742,0.893366454791708,0.7114659121845688
r6i1p1f1,3,counterfactual,2005-02-15 00:00:00,62.215675,110.3125,0.27371499917483855,0.09874059321699302,0.046065291612208514,0.6508036043281891,0.44340497066251283
