member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_gaussian,pn_dyn_adj_dml_gaussian,pn_analogues_local_gaussian,pn_analogues_lasso_gaussian
r3i1p1f1,13,factual,2012-01-16 12:00:00,35.176052,252.91667,0.8722742860734369,0.9495306776152088,0.8644846913497568,0.8123380629508474,0.8274088467456894,0.0,0.9999997762001884
r3i1p1f1,14,factual,2012-04-16 00:00:00,-71.514084,57.708332,0.993075904646343,0.8923696331099277,0.7257149796595883,0.6433671720620056,0.7289961465885646,0.9999999951460633,0.0
r3i1p1f1,15,factual,2013-01-16 12:00:00,15.35673,10.122951,0.9499995985731058,0.9992590577803467,0.4218750860162288,0.30137296861207685,0.9920803851032606,0.9789109586050089,0.9981018289334022
r3i1p1f1,16,factual,2013-01-16 12:00:00,64.313385,206.00694,0.9973375880614931,0.9845057652625634,0.8856526154231819,0.7893836936905536,0.9108157791910733,0.0,0.9663552162252886
r3i1p1f1,17,factual,2013-02-15 00:00:00,15.244626,30.197369,0.7988611341018959,0.9995475366721891,0.01552162991549133,0.0,0.9874533659743117,0.9987973639126103,0.9877813527891719
r3i1p1f1,18,factual,2013-06-16 00:00:00,-89.1055,174.0849,0.9683047197181305,0.9023228135748944,0.9250839293901297,0.7910069810390075,0.9367547947571452,0.9553104791643546,0.8754543703825385
r3i1p1f1,19,factual,2013-12-16 12:00:00,67.55111,152.17741,0.9780157055372349,0.9990644876017631,0.9744752831724984,0.7834296661650001,0.9851902319648431,0.0,0.9939737000191725
r3i1p1f1,20,factual,2014-06-16 00:00:00,-13.275287,27.5,0.7565957029159657,0.9999908421428776,0.983431129226593,0.8859852371153669,0.9988485887182075,0.9986711997624325,0.9999726123132756
r3i1p1f1,21,factual,2014-07-16 12:00:00,-74.061035,92.38426,0.9547882041885175,0.9110969623444285,0.724030490223994,0.5704543271205925,0.7708466027980242,0.0,0.9988557539054552
r3i1p1f1,22,factual,2014-10-16 12:00:00,-14.807103,310.94202,0.8713605287880628,0.999980020989262,0.9726344393881283,0.707804757405023,0.9983454122593473,0.0,0.9999999999994102
r3i1p1f1,23,factual,2014-12-16 12:00:00,68.60915,252.34375,0.9982242885872933,0.9991745362564461,0.9771906241153739,0.8591224035694831,0.9851887028680225,0.0,0.9780546260895205
r3i1p1f1,0,counterfactual,2004-01-16 12:00:00,54.388733,70.63333,0.08350408299816447,0.05569000937993296,0.001953784946020831,0.0,0.011485269939775278,0.06251009045007638,0.053428167455399134
r3i1p1f1,1,counterfactual,2004-03-16 12:00:00,31.322891,48.154205,0.29948538278741255,0.21397927108985715,0.1697478365117162,0.10198745369333662,0.050680073757385924,0.6624387302025476,0.30649149804979636
r3i1p1f1,2,counterfactual,2005-05-16 12:00:00,-83.01496,311.69272,0.19093298944411008,0.0652930365793204,0.0,0.0,0.0,0.2081115233745744,0.0
r3i1p1f1,3,counterfactual,2006-02-15 00:00:00,39.63615,275.5324,0.15060419260997604,0.05418043013109419,0.0,0.0,0.0021244696979866307,0.0,0.0
r3i1p1f1,4,counterfactual,2007-01-16 12:00:00,65.82705,133.8372,0.5198305886757499,0.33195444255566,0.16319683311729916,0.09792772802460314,0.0,0.0,0.28383422728810503
r3i1p1f1,5,counterfactual,2007-04-16 00:00:00,21.006033,20.714285,0.24615287309841993,0.1210084039763103,0.0,0.0,0.0,0.0,0.2451987321040482
r3i1p1f1,6,counterfactual,2009-01-16 12:00:00,79.97234,285.49106,0.047021234143585056,0.018386472353309702,0.0,0.0,0.0,0.12969806007246099,0.03928705734208637
