member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_sir_2_gaussian
r9i1p1f1,187,factual,2014-08-16 12:00:00,-72.3118,127.385056,0.9794390601314292,0.7787274811376261,0.900993805712124,0.9357631306861228,0.6636467913436099
r9i1p1f1,188,factual,2014-08-16 12:00:00,-7.0811067,33.232758,0.7502574103285575,0.9999969665829872,0.0,0.9999317307051911,0.9999999995429605
r9i1p1f1,189,factual,2014-09-16 00:00:00,-7.1756525,297.3238,0.7834238018857749,0.9999998010740503,0.999999999999991,0.9449220743062768,0.9999999975818744
r9i1p1f1,190,factual,2014-09-16 00:00:00,-5.1698422,36.42157,0.8873890557616619,0.9999975418407725,0.9974362192379657,0.999986414030046,0.9999999997720522
r9i1p1f1,191,factual,2014-10-16 12:00:00,-9.794504,26.994535,0.9224964523498662,0.9999999872237448,0.0,0.9999994672457965,0.9999999926913437
r9i1p1f1,192,factual,2014-10-16 12:00:00,-7.1452303,300.84906,0.853045742491022,0.9999999855019276,0.9996430805138367,0.9998960313954325,0.9999999826215761
r9i1p1f1,193,factual,2014-11-16 00:00:00,-83.17946,150.30646,0.9577892156545751,0.9378173403935056,0.0,0.9907872819986194,0.9999964205503219
r9i1p1f1,194,factual,2014-11-16 00:00:00,-19.898457,137.44186,0.8825869310361678,0.997781192731681,0.989411176467841,0.9972671101868679,0.9887902737190265
r9i1p1f1,195,factual,2014-11-16 00:00:00,-3.7965107,299.1169,0.9418739084615748,0.9999999257990905,0.9999976168227243,0.9938712307724926,0.9999999977522783
r9i1p1f1,196,factual,2014-11-16 00:00:00,38.73616,82.07358,0.878813180347968,0.9926053668385091,0.9307756203593682,0.9857458004217332,0.9998299285753064
r9i1p1f1,197,factual,2014-12-16 12:00:00,-23.738794,23.363636,0.8383293181360975,0.999170280028224,0.0,0.9903834551906087,0.9999809269652813
r9i1p1f1,198,factual,2014-12-16 12:00:00,-4.788732,294.5202,0.9845379082111946,0.9999998793345887,0.9999999976224112,0.9418917288886942,0.999999998092145
r9i1p1f1,199,factual,2014-12-16 12:00:00,68.24949,257.5,0.973075099463495,0.9804478538830529,0.0,0.9893626774351342,0.980059224677555
r9i1p1f1,0,counterfactual,2004-01-16 12:00:00,11.641276,21.17347,0.4154711881059644,0.3663672266957073,0.4198946116269542,0.38975179886378275,0.0
r9i1p1f1,1,counterfactual,2004-01-16 12:00:00,43.829895,107.21154,0.005844767348643698,0.005314917906400596,0.0,0.0,0.0
r9i1p1f1,2,counterfactual,2004-01-16 12:00:00,50.393787,133.87755,0.5353017471245457,0.3682189309293957,0.0,0.045032565013678916,0.5417780019804738
r9i1p1f1,3,counterfactual,2004-02-15 12:00:00,62.93443,44.12069,0.009146202923344227,0.03181202653447668,0.0,0.0,0.0
r9i1p1f1,4,counterfactual,2004-03-16 12:00:00,-86.48343,198.95161,0.23408209147022185,0.06575724894208557,0.017187399556135685,0.1430621485779494,0.1533635296823329
r9i1p1f1,5,counterfactual,2004-03-16 12:00:00,12.313882,24.672619,0.3339221038752731,0.17436817511411573,0.02264104460322114,0.07651885836500849,0.6609649338813264
r9i1p1f1,6,counterfactual,2004-03-16 12:00:00,34.58879,101.85315,0.24243299064753465,0.07762111456110554,0.21695323736674743,0.11127265612838722,0.0
r9i1p1f1,7,counterfactual,2004-04-16 00:00:00,-76.98592,68.388885,0.3617198509700754,0.14400283138556702,0.2466239871248258,0.06509228127199673,0.0
r9i1p1f1,8,counterfactual,2004-05-16 12:00:00,-18.380281,25.192308,0.22406788326578364,0.045139171658454935,0.0,0.0,0.6217226574911802
r9i1p1f1,9,counterfactual,2004-09-16 00:00:00,-77.152664,247.43243,0.32357124223127487,0.08459819971790006,0.0,0.07750473528293067,0.0
r9i1p1f1,10,counterfactual,2004-11-16 00:00:00,22.1328,21.567461,0.2860675410453193,0.15609050205206854,0.5391272057293686,0.038227829369596567,0.0
r9i1p1f1,11,counterfactual,2004-11-16 00:00:00,42.626347,62.205883,0.0057006993661450345,0.005195955088733717,0.0,0.0,0.0
r9i1p1f1,12,counterfactual,2004-11-16 00:00:00,55.735035,132.10938,0.03668576989019834,0.06380893909568908,0.0,0.0,0.0
r9i1p1f1,13,counterfactual,2004-11-16 00:00:00,68.20336,138.53659,0.6588620732586097,0.35504391113528333,0.0,0.5104310583897207,0.7901987703132766
