member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dyn_adj_local_25_gaussian,pn_dyn_adj_local_50_pca_gaussian
r7i1p1f1,18,factual,2013-08-16 12:00:00,30.76825,9.545455,0.9174762783877167,0.9757034230188742,0.32668557242285534,0.9992451567636516
r7i1p1f1,19,factual,2013-10-16 12:00:00,-16.750504,306.60715,0.8641775013894035,0.9949471621304212,0.9687972830393453,0.9888209026587367
r7i1p1f1,20,factual,2014-05-16 12:00:00,-87.369995,162.84187,0.9991957820561005,0.8284779511807585,0.7546519505391605,0.9981530996317931
r7i1p1f1,21,factual,2014-05-16 12:00:00,-27.517603,138.28125,0.9691018415903316,0.9792414711039044,0.9843772327825999,0.9991559752326199
r7i1p1f1,22,factual,2014-06-16 00:00:00,-19.140844,143.33333,0.9128764718057977,0.9848436779192139,0.9538847712843421,0.9999999967011493
r7i1p1f1,23,factual,2014-09-16 00:00:00,-70.79578,64.25,0.9976748587676706,0.7613600925624703,0.6824276384694894,0.9898642785652344
r7i1p1f1,24,factual,2014-10-16 12:00:00,-6.9345484,29.264706,0.625114028478769,0.9997115262771351,0.8986660636524295,1.0
r7i1p1f1,25,factual,2014-12-16 12:00:00,66.021126,179.79167,0.9999999835045631,0.9666342977081407,0.9834570481625938,0.9999999988944116
r7i1p1f1,0,counterfactual,2010-10-16 12:00:00,52.54801,117.045456,0.46474339747184923,0.0,0.030491256857209992,0.15967055290403076
r7i1p1f1,1,counterfactual,2011-02-15 00:00:00,44.97815,90.86207,0.1055613488790812,0.0,0.0,0.0
r7i1p1f1,2,counterfactual,2011-10-16 12:00:00,-24.891163,27.5,0.5617185239446538,0.0,0.3676955463994719,0.5937049210690071
r7i1p1f1,3,counterfactual,2011-10-16 12:00:00,-12.018779,20.277779,0.48993695708676954,0.0,0.5040704929174034,0.7980193661330157
r7i1p1f1,4,counterfactual,2011-10-16 12:00:00,80.73673,292.1154,0.022747560126677113,0.0206890457811576,0.0,0.0
r7i1p1f1,5,counterfactual,2011-12-16 12:00:00,-17.384306,16.964285,0.19605039346616726,0.0,0.0,0.0
r7i1p1f1,6,counterfactual,2011-12-16 12:00:00,56.209793,81.45522,1.6287851048457647e-05,0.0008657299912161465,0.0,0.0
r7i1p1f1,7,counterfactual,2012-01-16 12:00:00,11.577466,8.333333,0.21648471832110727,0.001526545712476013,0.0,0.0
r7i1p1f1,8,counterfactual,2012-01-16 12:00:00,21.779768,100.90909,0.24081387649122,0.0,0.0,0.0
r7i1p1f1,9,counterfactual,2012-01-16 12:00:00,70.866325,100.37736,0.012505743575382144,0.04138231990045238,0.0,0.0
r7i1p1f1,10,counterfactual,2012-02-15 12:00:00,14.689312,354.70587,0.31764194272580604,0.03908084589563621,0.0,0.0
r7i1p1f1,11,counterfactual,2012-02-15 12:00:00,19.234535,4.4565215,0.37218022583901345,0.053961892511274256,0.005144891714657263,0.0
r7i1p1f1,12,counterfactual,2012-07-16 12:00:00,-83.60739,177.34506,0.9293175013664855,0.2209934151218751,0.844341284982055,0.9783062128698518
