member,event_id,scenario,time,lat,lon,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_analogue_sparse_adjusted_gaussian
r6i1p1f1,36,factual,2008-11-16 00:00:00,77.93794,313.3203,0.9733437825787703,0.9977334252251152,0.9343054613653864,0.9996652818488782,0.0
r6i1p1f1,37,factual,2009-01-16 12:00:00,67.288734,78.125,0.9132606541629915,0.0,0.9739856218355781,0.9999992876520248,0.8774808900852976
r6i1p1f1,38,factual,2009-03-16 12:00:00,18.760563,353.0,0.9987239183951924,0.8556107047851182,0.9989325015719062,0.9999649501266181,0.995984388456415
r6i1p1f1,39,factual,2009-03-16 12:00:00,26.180931,6.826923,0.9836360398691151,0.6920638071949274,0.8744420449518205,0.9954235868131068,0.9779757075872563
r6i1p1f1,40,factual,2009-04-16 00:00:00,41.070427,87.25,0.7536070840872002,0.0,0.5213708855118747,0.7909788757328022,0.8974691641197676
r6i1p1f1,41,factual,2009-07-16 12:00:00,-22.90141,290.66666,0.9908843813546838,0.9998609662265167,0.8939030732925878,0.9891981545354316,0.9997704907187287
r6i1p1f1,42,factual,2009-08-16 12:00:00,-7.0140843,286.33334,0.9999723914217056,0.9999999994000975,0.9950164417533979,0.9999181001716649,0.9999999991387339
r6i1p1f1,43,factual,2009-10-16 12:00:00,-71.83098,148.80952,0.6856788382780135,0.9985167630980519,0.9620492046059173,0.9989690408514325,0.9836706889634653
r6i1p1f1,44,factual,2009-12-16 12:00:00,60.48289,130.44643,0.9946191180334589,0.0,0.9999763758847389,0.9999999999810172,0.9904267590878051
r6i1p1f1,45,factual,2009-12-16 12:00:00,70.40086,249.42308,0.958594992303203,0.7048557159896262,0.9834314896182537,0.9999999042369246,0.0
r6i1p1f1,46,factual,2010-01-16 12:00:00,16.300617,12.34375,0.989965193003034,0.0,0.8195133859847122,0.969479894501772,0.9987023650742308
r6i1p1f1,47,factual,2010-09-16 00:00:00,-24.480635,304.53125,0.9666712425617066,0.9694917287899621,0.8958290514804785,0.8832125788043264,0.805694645196118
r6i1p1f1,48,factual,2010-12-16 12:00:00,59.85677,90.4661,0.8866940012804965,0.9840856277219513,0.9955687483017278,0.9999362026547648,0.874660301588616
r6i1p1f1,49,factual,2011-02-15 00:00:00,32.82605,270.487,0.9606447564465315,0.9998603755827469,0.9811527756041941,0.9996330596043949,0.949998931175689
r6i1p1f1,50,factual,2011-03-16 12:00:00,17.055056,5.909091,0.9898640025484795,0.8411129303900786,0.8611999285915641,0.9813284279632859,0.9836632951414179
r6i1p1f1,51,factual,2011-07-16 12:00:00,-70.214325,112.5,0.797820741723055,0.2236732660129398,0.9695991877749831,0.9911908373700269,0.9998972479399685
r6i1p1f1,52,factual,2011-10-16 12:00:00,-29.05742,135.52884,0.9830829279742351,0.0,0.9984733854021944,0.9999876378493883,0.9999986140951707
r6i1p1f1,53,factual,2011-12-16 12:00:00,59.681854,99.64706,0.92881530171484,0.970361171345376,0.9989146604788752,0.99999498110759,0.9634764327181696
r6i1p1f1,54,factual,2012-01-16 12:00:00,56.13218,243.5577,0.8888985989890782,0.999968516504924,0.9910202256376152,0.9994509056473428,0.0
r6i1p1f1,55,factual,2012-01-16 12:00:00,61.205185,46.079544,0.9472981151583122,0.974141978650849,0.9448340263383104,0.9998814226842233,0.5564493318036343
r6i1p1f1,56,factual,2012-02-15 12:00:00,26.529177,110.35714,0.9505115378999067,0.0,0.9233980871441373,0.9978813491105777,0.9964367563201557
r6i1p1f1,57,factual,2012-04-16 00:00:00,4.4739027,300.0,0.999905334355611,0.9999996885275674,0.881220016970581,0.9997846298159846,0.9999999987049779
r6i1p1f1,58,factual,2012-04-16 00:00:00,47.661976,279.375,0.9393402312820662,0.0,0.9970767603681235,0.9999999979828681,0.999998922441367
r6i1p1f1,59,factual,2012-07-16 12:00:00,-87.076065,69.03333,0.8548404652159043,0.0,0.9738285464572773,0.974600590012838,0.0
r6i1p1f1,60,factual,2012-07-16 12:00:00,-80.73064,138.125,0.8498238364275568,0.0,0.9312563365888457,0.998483919479631,0.9999971731166224
r6i1p1f1,61,factual,2012-07-16 12:00:00,-26.327192,23.076923,0.997333998922408,0.563846973080809,0.9943449047621167,0.9999905828733475,0.9999999995135336
r6i1p1f1,62,factual,2012-07-16 12:00:00,21.990202,80.978264,0.9685888148870797,0.0,0.9892274043296863,0.9995361973491059,0.999975512560423
r6i1p1f1,63,factual,2013-02-15 00:00:00,11.408451,45.0,0.994051269816161,0.9977295746666524,0.9737232833157664,0.998731299623274,0.8231917432589788
r6i1p1f1,64,factual,2013-02-15 00:00:00,20.71453,48.048782,0.985381555019963,0.9991801434833414,0.8816385254773922,0.996828792320381,0.0
r6i1p1f1,65,factual,2013-08-16 12:00:00,-75.88733,349.66666,0.6054570114090292,0.7296058661168587,0.7946354856137355,0.9628308438751603,0.20932721906228002
r6i1p1f1,66,factual,2013-08-16 12:00:00,-11.40845,36.09375,0.9999668562962364,0.9973727788008436,0.9947894573732179,0.9999999584888314,0.9900558290287319
r6i1p1f1,67,factual,2013-08-16 12:00:00,50.704224,5.2272725,0.8501798112019956,0.0,0.9612520405477332,0.99967043573414,0.9019138307737926
r6i1p1f1,68,factual,2013-10-16 12:00:00,49.28749,241.91176,0.9663424435634134,0.0,0.9933243162824759,0.9999181046419732,0.9564013111737274
r6i1p1f1,69,factual,2013-11-16 00:00:00,-15.136703,18.970589,0.9999273665678752,0.9999935484241221,0.9979973730792038,0.9999992911099473,0.9999999713047883
r6i1p1f1,70,factual,2013-12-16 12:00:00,56.19718,262.66666,0.8673623257107278,0.9254059482334877,0.9930682514787625,0.9999888953002831,0.8524706685828789
r6i1p1f1,71,factual,2014-01-16 12:00:00,75.42254,336.875,0.9926251194582865,0.4789543847218931,0.9933593288906627,0.9999998864510437,0.997418180459011
r6i1p1f1,72,factual,2014-02-15 00:00:00,18.549294,5.25,0.997620234319782,0.9976891956183591,0.810095287654463,0.9838112261184458,0.9987107677761715
r6i1p1f1,73,factual,2014-02-15 00:00:00,16.151749,351.7742,0.9982449629170704,0.9999669214648019,0.9908962549803667,0.9987993204947919,0.9973569859131347
r6i1p1f1,74,factual,2014-02-15 00:00:00,70.60012,238.80435,0.9737341833616283,0.9712455406692425,0.8702483877466741,0.9999996881608346,0.9979215955496792
r6i1p1f1,75,factual,2014-03-16 12:00:00,3.0422537,9.833333,0.9999996867607414,0.9999998736939811,0.9999981806542796,0.9999999998193889,0.9999999976405355
r6i1p1f1,76,factual,2014-03-16 12:00:00,27.344067,9.892858,0.9965615407024976,0.5644905302907447,0.7819420440852919,0.9994150796928014,0.9999965773444609
r6i1p1f1,77,factual,2014-03-16 12:00:00,24.000002,356.33334,0.9815658199149159,0.9455682852821912,0.9762867552483608,0.9966590810984683,0.9978252317313887
