member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_analogue_sparse_sir_2_gaussian,pn_analogue_sparse_sir_3_gaussian,pn_analogue_sparse_sir_10_gaussian
r2i1p1f1,3,counterfactual,2007-12-16 12:00:00,53.170918,133.10811,0.4472273763774429,0.13665682723203132,0.0,0.2686497973106031,0.7942337991034355,0.0,0.6548007957255144
r2i1p1f1,4,counterfactual,2009-12-16 12:00:00,-16.670935,131.66667,0.15241062261140936,0.007028980121442929,0.0,0.020060675544975592,0.0,0.0,0.378768020476847
r2i1p1f1,5,counterfactual,2010-06-16 00:00:00,-81.19232,150.77586,0.17035088230375173,0.01125490371254212,0.15537009274155456,0.0,0.33317614535273044,0.0,0.8743690273166095
r2i1p1f1,6,counterfactual,2012-10-16 12:00:00,-5.8504877,304.42307,0.3744365071031929,0.047039095979312884,0.0,0.0,0.6941099720087593,0.8467835582096491,0.9926144440656135
r2i1p1f1,7,counterfactual,2013-03-16 12:00:00,22.797983,352.16418,0.23086642881067365,0.022917765979253102,0.24337595229632913,0.0,0.0,0.0,0.0
r2i1p1f1,8,counterfactual,2013-03-16 12:00:00,28.55993,4.132653,0.287792994314262,0.04669438952903049,0.20888954481374233,0.03366112524509968,0.0,0.0,0.8442711554085982
r2i1p1f1,9,counterfactual,2013-10-16 12:00:00,-29.526468,137.19827,0.5237592107209703,0.14455778969254496,0.0,0.25266772309837937,0.75421814182196,0.777420685687814,0.9475296422062983
r2i1p1f1,10,counterfactual,2014-01-16 12:00:00,57.048073,249.52982,0.06189135326160511,0.012003099323977029,0.0778226371428391,0.01701204232483211,0.17410152618570174,0.04309349945365004,0.5159249590995438
r2i1p1f1,11,counterfactual,2014-03-16 12:00:00,21.897886,49.1875,0.4337457348532461,0.14281250156572245,0.0,0.11780081497974848,0.07495445635926035,0.6984822255115908,0.7422686519906481
r3i1p1f1,0,factual,2004-01-16 12:00:00,54.388733,70.63333,0.8776007140046106,0.9340989602354213,0.990609004188167,0.886231347265469,0.0,0.013483781130310346,0.8918887353864994
r3i1p1f1,1,factual,2004-03-16 12:00:00,31.322891,48.154205,0.6367522929004097,0.9960055806378546,0.0,0.9821903454195956,0.9869829389983241,0.9989523547477015,0.9996241631768467
r3i1p1f1,2,factual,2005-05-16 12:00:00,-83.01496,311.69272,0.8559551994196479,0.8739861579093907,0.983598936578744,0.9532909502977526,0.9954238585492349,0.9999995847739639,0.7684023535154637
r3i1p1f1,3,factual,2006-02-15 00:00:00,39.63615,275.5324,0.8197939172280589,0.988839357940386,0.0,0.9980550558073153,0.9999655279454951,0.9999972830472537,0.9999455421738311
r3i1p1f1,4,factual,2007-01-16 12:00:00,65.82705,133.8372,0.9781128932158022,0.9980032025501455,0.0,0.9999921897699592,0.9999890655212073,0.9999890554544947,0.9999999886894284
r3i1p1f1,5,factual,2007-04-16 00:00:00,21.006033,20.714285,0.9074878196189589,0.982412208092051,0.0,0.8562610634455925,0.9983933002821519,0.9999999796812263,0.9999999758485492
r3i1p1f1,6,factual,2009-01-16 12:00:00,79.97234,285.49106,0.9986892671584677,0.9954682649033493,0.9999933360312663,0.9993359540766418,0.5786057453112465,0.9327916463125099,0.96022251619349
r3i1p1f1,7,factual,2009-02-15 00:00:00,60.704227,261.42856,0.9952710174071729,0.9965128065190605,0.0,0.9998117832347406,0.9999999092236076,0.9998783137701743,0.9999996197226941
r3i1p1f1,8,factual,2009-11-16 00:00:00,-3.911469,308.14285,0.8716961737731646,0.9999746289074936,1.0,0.964040181878201,0.9999999480691725,0.9999999535895595,0.9999999839436415
r3i1p1f1,9,factual,2010-02-15 00:00:00,32.48022,83.39041,0.9533902121547305,0.9991035385713328,0.999999994266154,0.9004064544928465,0.9167247217266847,0.9612968408170676,0.9991132848500628
r3i1p1f1,10,factual,2010-10-16 12:00:00,-13.389084,309.375,0.9088215844638672,0.9999980511521168,0.0,0.9967167019409229,0.9999999786995417,0.9999999929199894,0.9999999971701672
r3i1p1f1,11,factual,2011-10-16 12:00:00,49.379,85.51136,0.9623311965797156,0.923782486053581,0.3596342916472596,0.8044270991809382,0.9998384094209646,0.9999774806810356,0.9999999962806673
r3i1p1f1,12,factual,2011-12-16 12:00:00,70.94588,111.552635,0.9983606237884557,0.9991276021740444,0.0,0.9999971830804194,0.999999982919819,0.9999992279885419,0.9999999942599613
