member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_analogue_sparse_gaussian
r9i1p1f1,130,counterfactual,2011-06-16 00:00:00,-74.86115,151.35715,0.2660333686515193,0.06112263070934154,0.0,0.0,0.0,0.0
r9i1p1f1,131,counterfactual,2011-08-16 12:00:00,-83.54011,161.6827,0.5287633189673464,0.11691367582119194,0.37489707724968646,0.17210454691368793,0.2792609991406084,0.0
r9i1p1f1,132,counterfactual,2011-08-16 12:00:00,-74.63414,27.378048,0.23703331995517274,0.03527868532756506,0.24773150071089411,0.019377162106345214,0.02851078911714411,0.0
r9i1p1f1,133,counterfactual,2011-09-16 00:00:00,-15.400462,303.61942,0.6514194940437559,0.2501476627527166,0.9999978541999938,0.49889574311309426,0.812376160352357,0.9975959744915591
r9i1p1f1,134,counterfactual,2011-11-16 00:00:00,-25.326244,144.43878,0.0724789279179241,0.034327825794572275,0.0,0.0,0.0,0.0
r9i1p1f1,135,counterfactual,2011-12-16 12:00:00,-24.084507,146.0,0.12868095833520865,0.05351860121912955,0.05408110718965642,0.0,0.0,0.0
r9i1p1f1,136,counterfactual,2011-12-16 12:00:00,62.637203,264.7414,0.0014644856019506713,0.009200832809695525,0.0,0.0,0.0,0.0
r9i1p1f1,137,counterfactual,2011-12-16 12:00:00,67.77764,133.5177,0.3376116067267675,0.23160347234979684,0.0,0.0,0.2362916132197691,0.543204834841658
r9i1p1f1,138,counterfactual,2012-01-16 12:00:00,19.97153,10.558511,0.6229820107398054,0.2096482188894092,0.2966069308170436,0.0,0.023757856675232003,0.0
r9i1p1f1,139,counterfactual,2012-01-16 12:00:00,33.672817,268.01282,0.5876251106854202,0.11543083907932439,0.1241619245268657,0.0,0.17801889190949072,0.0
r9i1p1f1,140,counterfactual,2012-02-15 12:00:00,64.77464,28.583334,0.33800421565521843,0.20071033381405534,0.3139022567670441,0.0,0.1979948865135902,0.0
r9i1p1f1,141,counterfactual,2012-03-16 12:00:00,42.04225,284.40475,0.6004823194444893,0.24340980414857005,0.0,0.3882845757890535,0.7280465442872415,0.9229760974655612
r9i1p1f1,142,counterfactual,2012-04-16 00:00:00,50.87184,63.03719,0.07524796697606717,0.06721400724325088,0.15788417758794415,0.0,0.019671705314372567,0.0
r9i1p1f1,143,counterfactual,2012-06-16 00:00:00,56.0161,10.178572,0.30270851762861506,0.16790031480689305,0.0,0.0,0.25744497346510165,0.21799431784558965
r9i1p1f1,144,counterfactual,2012-07-16 12:00:00,-15.140847,294.2361,0.5857217870535524,0.28503213280294437,0.8836696004724232,0.0,0.1167354663306559,0.0
r9i1p1f1,145,counterfactual,2012-09-16 00:00:00,-70.94503,145.80646,0.16729281588629863,0.04700263123628512,0.0,0.0,0.0,0.5190825649748414
r9i1p1f1,146,counterfactual,2012-09-16 00:00:00,-6.830987,25.694445,0.408325433328821,0.25429141652744947,0.0,0.0,0.17117218184106053,0.22272147855527402
r9i1p1f1,147,counterfactual,2012-10-16 12:00:00,39.05043,242.09677,0.628328898100788,0.15726469039824753,0.2795015437083995,0.04601849355913701,0.3040743677800791,0.0
r9i1p1f1,148,counterfactual,2012-11-16 00:00:00,-14.088531,31.5,0.53635517097191,0.09854820164206102,0.0,0.0,0.0,0.0
r9i1p1f1,149,counterfactual,2012-12-16 12:00:00,-21.939327,26.576923,0.2783568807861959,0.05374741191140364,0.0,0.0,0.004721720015007258,0.0
r9i1p1f1,150,counterfactual,2012-12-16 12:00:00,16.334005,101.71429,0.07425436338152402,0.0015153645236021251,0.0,0.0008658455601845416,0.0,0.0
r9i1p1f1,151,counterfactual,2012-12-16 12:00:00,57.774654,38.72222,0.3659646722825429,0.16344145834147972,0.4216358097528444,0.0,0.1655392446425612,0.0
r9i1p1f1,152,counterfactual,2012-12-16 12:00:00,69.00183,261.19565,0.06311295768582514,0.05268407186454849,0.0,0.003251655728360059,0.009583786863782806,0.3263283729718507
r9i1p1f1,153,counterfactual,2013-01-16 12:00:00,2.6327195,289.30768,0.350080944653847,0.2778341017176852,0.555180191399856,0.0,0.0759983795101532,0.0
r9i1p1f1,154,counterfactual,2013-01-16 12:00:00,20.198294,19.950659,0.28781179839862525,0.10669633227330722,0.22113984167490386,0.0,0.03516627985854626,0.17827209098204
r9i1p1f1,155,counterfactual,2013-01-16 12:00:00,50.104992,40.772728,0.37691524483735694,0.12142333816673301,0.0,0.056460851675955825,0.14051028169637525,0.0
r9i1p1f1,156,counterfactual,2013-02-15 00:00:00,-22.163895,136.81818,0.45193724410509273,0.17408335548050546,0.12104257874913715,0.22787792968913523,0.28719400879776924,0.0
r9i1p1f1,157,counterfactual,2013-02-15 00:00:00,1.1778637,291.08408,0.46440561214728326,0.5226431194971402,0.7839119518629833,0.12015137303228796,0.3232248357815678,0.891008041617074
r9i1p1f1,158,counterfactual,2013-02-15 00:00:00,13.511521,46.534092,0.26380591620863203,0.1379375160161329,0.0,0.0,0.0,0.06350412947037665
r9i1p1f1,159,counterfactual,2013-03-16 12:00:00,1.2910798,298.7037,0.4067247396339766,0.3523069238147126,0.671168334178905,0.0,0.09995374666155854,0.0
r9i1p1f1,160,counterfactual,2013-04-16 00:00:00,0.8857967,295.8735,0.5433090154197706,0.5548352279066553,0.7257903302132188,0.12387848114623023,0.27830206197884966,0.9388526216039329
r9i1p1f1,161,counterfactual,2013-04-16 00:00:00,6.802818,9.583333,0.273438293759774,0.12986974190667044,0.0,0.0,0.059328654834290506,0.0
r9i1p1f1,162,counterfactual,2013-04-16 00:00:00,24.0653,352.5,0.48843679047391364,0.16966531860199452,0.0,0.0,0.1852354049098568,0.0
r9i1p1f1,163,counterfactual,2013-05-16 12:00:00,5.8064513,297.01614,0.4384837610290644,0.4268107085905273,0.0,0.0,0.11415305824777211,0.9735121171683423
r9i1p1f1,164,counterfactual,2013-05-16 12:00:00,8.9577465,6.25,0.3879087792414978,0.13888658568413637,0.0,0.0,0.10719483334601887,0.5426527858061285
