member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_analogues_local_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian,pn_adjusted_thermo_DL_gaussian,pn_analogue_sparse_gaussian,pn_analogue_sparse_adjusted_gaussian
r3i1p1f1,5,factual,2007-04-16 00:00:00,21.006033,20.714285,0.9074878196189589,0.982412208092051,0.0,0.8562610634455925,0.9877839838031806,0.999998979772424,0.9999683986625199,0.9999454670659613
r3i1p1f1,6,factual,2009-01-16 12:00:00,79.97234,285.49106,0.9986892671584677,0.9954682649033493,0.9999958503043671,0.9993359540766418,0.999999905771517,1.0,0.8686980615775796,0.6068337600768605
r3i1p1f1,7,factual,2009-02-15 00:00:00,60.704227,261.42856,0.9952710174071729,0.9965128065190605,0.9929906929690919,0.9998117832347406,0.9999999996493086,1.0,0.9999971426252369,0.999994638251916
r3i1p1f1,8,factual,2009-11-16 00:00:00,-3.911469,308.14285,0.8716961737731646,0.9999746289074936,1.0,0.964040181878201,0.9999946024410963,1.0,0.999999965134144,0.9999998760739369
r3i1p1f1,9,factual,2010-02-15 00:00:00,32.48022,83.39041,0.9533902121547305,0.9991035385713328,0.9999980828259125,0.9004064544928465,0.9991423317168332,1.0,0.9928705900285767,0.9670424929258357
r3i1p1f1,10,factual,2010-10-16 12:00:00,-13.389084,309.375,0.9088215844638672,0.9999980511521168,0.0,0.9967167019409229,0.9999983741173194,1.0,0.9999999888193623,0.9999999812828327
r3i1p1f1,11,factual,2011-10-16 12:00:00,49.379,85.51136,0.9623311965797156,0.923782486053581,0.9742572125970222,0.8044270991809382,0.9756089383266611,0.9999602232426564,0.9999929752780669,0.9999930881076701
r3i1p1f1,12,factual,2011-12-16 12:00:00,70.94588,111.552635,0.9983606237884557,0.9991276021740444,0.0,0.9999971830804194,1.0,1.0,0.9999999900261414,0.9999999867642785
r3i1p1f1,13,factual,2012-01-16 12:00:00,35.176052,252.91667,0.8722742860734369,0.9495306776152088,0.0,0.9601116159745757,0.9953244963845604,1.0,0.998801489686183,0.9990132091297443
r3i1p1f1,14,factual,2012-04-16 00:00:00,-71.514084,57.708332,0.993075904646343,0.8923696331099277,0.9999999951460633,0.9201295178868686,0.9643828009452,0.999994014708474,0.9999997924758053,0.9999999017354656
r3i1p1f1,15,factual,2013-01-16 12:00:00,15.35673,10.122951,0.9499995985731058,0.9992590577803467,0.9789109586050089,0.9343644361774651,0.9994151531718526,1.0,0.9734931824318791,0.9215069827174055
r3i1p1f1,16,factual,2013-01-16 12:00:00,64.313385,206.00694,0.9973375880614931,0.9845057652625634,0.0,0.9403486312304817,0.9984266648061406,1.0,0.9981155213806683,0.9919245710873548
r3i1p1f1,17,factual,2013-02-15 00:00:00,15.244626,30.197369,0.7988611341018959,0.9995475366721891,0.9987973639126103,0.9359281270767821,0.9979667036822404,0.999994470522576,0.9997161107984852,0.9992547183130219
r3i1p1f1,18,factual,2013-06-16 00:00:00,-89.1055,174.0849,0.9683047197181305,0.9023228135748944,0.9553104791643546,0.8881055203825243,0.9941658703710732,0.9999947206523877,0.9944362419138532,0.9913332471408466
r3i1p1f1,19,factual,2013-12-16 12:00:00,67.55111,152.17741,0.9780157055372349,0.9990644876017631,0.0,0.9918624941206636,0.9999999984394727,0.9999971488438311,0.9999068769351693,0.9998898221602184
r3i1p1f1,20,factual,2014-06-16 00:00:00,-13.275287,27.5,0.7565957029159657,0.9999908421428776,0.9986711997624325,0.9999625826471701,0.9999998679567846,1.0,0.9999998519345549,0.999999695833317
r3i1p1f1,21,factual,2014-07-16 12:00:00,-74.061035,92.38426,0.9547882041885175,0.9110969623444285,0.0,0.8413341050132398,0.9530249069088672,0.9999973596040507,0.9999999710428203,0.9999999851165406
r3i1p1f1,22,factual,2014-10-16 12:00:00,-14.807103,310.94202,0.8713605287880628,0.999980020989262,0.0,0.9980580241512047,0.9999997502077835,1.0,0.999999998637748,0.9999999996380995
r3i1p1f1,23,factual,2014-12-16 12:00:00,68.60915,252.34375,0.9982242885872933,0.9991745362564461,0.0,0.9925979414853059,0.9999999999940566,1.0,0.9999999989537359,0.9999999964921802
r3i1p1f1,0,counterfactual,2004-01-16 12:00:00,54.388733,70.63333,0.08350408299816447,0.05569000937993296,0.06251009045007638,0.0,0.0691150381572756,0.04380737521882472,0.0927056150214457,0.2845079240148253
r3i1p1f1,1,counterfactual,2004-03-16 12:00:00,31.322891,48.154205,0.29948538278741255,0.21397927108985715,0.6624387302025476,0.20342196832923065,0.33742668838163803,0.6093123972633059,0.5390404582877051,0.0
r3i1p1f1,2,counterfactual,2005-05-16 12:00:00,-83.01496,311.69272,0.19093298944411008,0.0652930365793204,0.2081115233745744,0.0,0.0,0.21536568653214516,-0.5923703606809536,0.0
r3i1p1f1,3,counterfactual,2006-02-15 00:00:00,39.63615,275.5324,0.15060419260997604,0.05418043013109419,0.0,0.0,0.0,0.014578063555790388,0.1439465655042933,0.0
