member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian
r1i1p1f1,18,counterfactual,1987-05-16 12:00:00,26.28169,348.33334,0.050853626242232886,0.010609921245310794
r1i1p1f1,19,counterfactual,1988-01-16 12:00:00,73.80282,322.91666,0.2048849359119258,0.06609703412515033
r1i1p1f1,20,counterfactual,1988-02-15 12:00:00,40.05634,56.5,0.3304781991422323,0.11296797965977123
r1i1p1f1,21,counterfactual,1988-04-16 00:00:00,29.070421,8.5,0.03507400188519838,0.012002489364655422
r1i1p1f1,22,counterfactual,1988-05-16 12:00:00,28.920187,25.0,0.02501998773093761,0.0010557386158868143
r1i1p1f1,23,counterfactual,1988-09-16 00:00:00,-84.48326,244.43661,0.09410529334357509,0.0
r1i1p1f1,24,counterfactual,1988-09-16 00:00:00,-2.4144866,27.5,0.1234153741615821,0.04353113889022664
r1i1p1f1,25,counterfactual,1988-11-16 00:00:00,-18.450705,32.22222,0.12573798216178234,0.0744109831277524
r1i1p1f1,26,counterfactual,1989-02-15 00:00:00,3.9003253,295.0,0.061464310693252644,0.04506552399491415
r1i1p1f1,27,counterfactual,1989-03-16 12:00:00,4.2184253,292.5,0.09679682366900011,0.15971343184208364
r1i1p1f1,28,counterfactual,1989-04-16 00:00:00,-4.8467274,283.2353,0.11761798949434599,0.06705216899771671
r1i1p1f1,29,counterfactual,1989-04-16 00:00:00,5.0153093,301.19565,0.12333329167051199,0.09580465311166142
r1i1p1f1,30,counterfactual,1989-05-16 12:00:00,-83.6159,101.181816,0.030717300007819803,0.0034110206208315397
r1i1p1f1,31,counterfactual,1989-05-16 12:00:00,18.613785,103.289474,0.09061554990312293,0.018274595617666978
r1i1p1f1,32,counterfactual,1989-12-16 12:00:00,50.89759,244.78813,0.0006628569144468965,0.0001001037241114
r1i1p1f1,33,counterfactual,1990-01-16 12:00:00,14.957745,25.555555,0.12742827840390125,0.0983432718373527
r1i1p1f1,34,counterfactual,1990-03-16 12:00:00,39.871964,84.09091,0.0034076834873412176,0.002189220565131267
r1i1p1f1,35,counterfactual,1990-12-16 12:00:00,64.77464,264.25,0.056879586025503914,0.074217794594719
r1i1p1f1,36,counterfactual,1991-02-15 00:00:00,68.028175,200.83333,0.8313492847904458,0.16133657600788764
r1i1p1f1,37,counterfactual,1991-04-16 00:00:00,-84.699104,163.40909,0.023710224158589255,0.0021296707884777
r1i1p1f1,38,counterfactual,1991-06-16 00:00:00,-87.01995,103.23219,0.26297390616150595,0.037696024585201715
r1i1p1f1,39,counterfactual,1991-07-16 12:00:00,-12.45236,29.705883,0.08415761419860646,0.0011119325114512524
r1i1p1f1,40,counterfactual,1992-03-16 12:00:00,38.37388,81.13636,0.28739797952609347,0.15581121431610678
r1i1p1f1,41,counterfactual,1992-03-16 12:00:00,73.09859,320.45834,0.17925316682555803,0.055934321284903055
r1i1p1f1,42,counterfactual,1993-01-16 12:00:00,51.49648,73.59375,0.3576451672723969,0.0
r1i1p1f1,43,counterfactual,1994-12-16 12:00:00,68.32395,320.625,0.3826447254560227,0.09340041610963412
r1i1p1f1,44,counterfactual,1995-02-15 00:00:00,22.047285,22.142857,0.05693341670595364,0.002770692857066659
r1i1p1f1,45,counterfactual,1995-03-16 12:00:00,27.464788,31.309525,0.04049391302210281,0.004548272124657249
r1i1p1f1,46,counterfactual,1995-04-16 00:00:00,-70.67389,126.53846,0.3806528913740721,0.0
r1i1p1f1,47,counterfactual,1995-08-16 12:00:00,68.56595,130.90909,0.5866859299922295,0.1403386095445054
r1i1p1f1,48,counterfactual,1995-10-16 12:00:00,80.89629,313.75,0.23207484931942313,0.09715465933211687
r1i1p1f1,49,counterfactual,1996-01-16 12:00:00,34.492214,246.3158,0.2658440401720189,0.03826427970549762
r1i1p1f1,50,counterfactual,1996-01-16 12:00:00,71.08344,93.46154,0.597060213650533,0.0
r1i1p1f1,51,counterfactual,1996-02-15 12:00:00,15.544848,352.3684,0.19186631227053497,0.044471178661582234
r1i1p1f1,52,counterfactual,1996-02-15 12:00:00,41.770622,263.33334,0.05048273968846195,0.0
r1i1p1f1,53,counterfactual,1996-07-16 12:00:00,-16.42376,296.30435,0.4242058651753122,0.0
r1i1p1f1,54,counterfactual,1996-09-16 00:00:00,-30.032505,131.92308,0.13577844182778442,0.016904958615776566
r1i1p1f1,55,counterfactual,1996-11-16 00:00:00,-2.4295774,297.08334,0.2054928821796701,0.09564763430960865
r1i1p1f1,56,counterfactual,1996-12-16 12:00:00,51.33803,95.0,0.006212328825200397,0.0
r1i1p1f1,57,counterfactual,1997-02-15 00:00:00,80.82497,332.9762,0.1655092930718305,0.06153311219606361
r1i1p1f1,58,counterfactual,1999-11-16 00:00:00,-6.5492954,312.91666,0.3029383642539687,0.043130970542508806
r1i1p1f1,59,counterfactual,1999-12-16 12:00:00,77.323944,312.70834,0.6817158764406451,0.13879312375592434
r1i1p1f1,60,counterfactual,2000-04-16 00:00:00,36.201324,43.308823,0.03742543395549158,0.01373540396166606
r1i1p1f1,61,counterfactual,2001-11-16 00:00:00,36.760563,81.875,0.18131788256741788,0.027875953924090924
r1i1p1f1,62,counterfactual,2002-02-15 00:00:00,27.306337,65.9375,0.5213923988391145,0.15731736836080668
r1i1p1f1,63,counterfactual,2002-02-15 00:00:00,28.249496,49.761906,0.49507187076158277,0.21205869966902036
r1i1p1f1,64,counterfactual,2003-02-15 00:00:00,13.482716,13.068182,0.3847677668302122,0.08862107667118746
r1i1p1f1,65,counterfactual,2003-03-16 12:00:00,42.631577,61.973682,0.5224426652087117,0.08448505151914654
r1i1p1f1,66,counterfactual,2003-12-16 12:00:00,69.114685,123.21429,0.15053559791509796,0.03095902656284255
r1i1p1f1,67,counterfactual,2004-02-15 12:00:00,43.774647,50.75,0.6225867312186326,0.05889196385765727
r1i1p1f1,68,counterfactual,2004-03-16 12:00:00,79.93372,288.38235,0.022314574089438155,0.01274658388299621
r1i1p1f1,69,counterfactual,2004-06-16 00:00:00,-72.35103,43.23077,0.5175162795743993,0.0
r1i1p1f1,70,counterfactual,2004-07-16 12:00:00,-20.281693,131.44737,0.3558099258978762,0.10050203300753502
r1i1p1f1,71,counterfactual,2004-12-16 12:00:00,63.05801,151.65254,0.685855103402766,0.20506258324722215
r1i1p1f1,72,counterfactual,2005-02-15 00:00:00,-25.56338,126.875,0.5189440636448863,0.036014307015374225
r1i1p1f1,73,counterfactual,2005-03-16 12:00:00,-79.66414,150.0,0.17746268860061531,0.002876350465056743
r1i1p1f1,74,counterfactual,2005-05-16 12:00:00,-19.54471,21.744186,0.3354898216834663,0.02193146059405693
r1i1p1f1,75,counterfactual,2005-08-16 12:00:00,-81.61971,235.0,0.0026526061181638694,0.0
r1i1p1f1,76,counterfactual,2005-08-16 12:00:00,-80.70422,271.80554,0.0038846346556570266,0.0
r1i1p1f1,77,counterfactual,2005-08-16 12:00:00,-76.71771,225.65218,0.17259220240590467,0.002126169815596657
r1i1p1f1,78,counterfactual,2005-10-16 12:00:00,43.22535,252.0,0.49997802140910574,0.05116828590818745
r1i1p1f1,79,counterfactual,2005-12-16 12:00:00,-6.443661,321.04166,0.22115522181415448,0.02790092667353916
r1i1p1f1,80,counterfactual,2005-12-16 12:00:00,-0.19501622,306.53845,0.16096276959146805,0.0338832628112401
r1i1p1f1,81,counterfactual,2006-02-15 00:00:00,51.126755,101.5,0.04006148076675076,0.0
r1i1p1f1,82,counterfactual,2006-04-16 00:00:00,51.557922,75.0,0.00224002423512748,0.0
r1i1p1f1,83,counterfactual,2006-12-16 12:00:00,52.57959,289.45206,0.32241597191532934,0.14587613630018192
